Dec 19 12:25:13 test kernel: [78448.735792] [TRACE_KVM] Buffer & to_replay created
Dec 19 12:25:13 test kernel: [78448.735827] [HAVFUZZ] Opened
Dec 19 12:25:44 test kernel: [78480.000433] [TRACE_KVM] The trarget vcpu is 3
Dec 19 12:25:44 test kernel: [78480.070162] [Trace KVM] Buffer reset
Dec 19 12:25:44 test kernel: [78480.070169] [TRACE_KVM] Buffer size changed
Dec 19 12:25:44 test kernel: [78480.070174] [TRACE_KVM] From_exit set to 0 and exit_before buffer created.
Dec 19 12:25:44 test kernel: [78480.070177] [TRACE_KVM] gran exit set to 0.
Dec 19 12:25:44 test kernel: [78480.070178] [TRACE_KVM] Control_execution set to 1.
Dec 19 12:25:44 test kernel: [78480.070180] [TRACE_KVM] tracing enabled
Dec 19 12:25:46 test kernel: [78481.353248] 191, L1: 1.
Dec 19 12:25:46 test kernel: [78481.353333] 192, L1: 1.
Dec 19 12:25:46 test kernel: [78481.353363] 193, L1: 1.
Dec 19 12:25:46 test kernel: [78481.353403] 194, L1: 1.
Dec 19 12:25:46 test kernel: [78481.353444] 195, L1: 1.
Dec 19 12:25:46 test kernel: [78481.353477] 196, L1: 1.
Dec 19 12:25:46 test kernel: [78481.353505] 197, L1: 1.
Dec 19 12:25:46 test kernel: [78481.353534] 198, L1: 1.
Dec 19 12:25:46 test kernel: [78481.353562] 199, L1: 1.
Dec 19 12:25:46 test kernel: [78481.353592] 200, L1: 1.
Dec 19 12:25:46 test kernel: [78481.353889] 201, L1: 1.
Dec 19 12:25:46 test kernel: [78481.353917] 202, L1: 1.
Dec 19 12:25:46 test kernel: [78481.353970] 203, L1: 1.
Dec 19 12:25:46 test kernel: [78481.470687] [Hermes] Exit Field [681e] -> Value [f9]. Reason: [a].
Dec 19 12:25:46 test kernel: [78481.470723] 204, L1: 1.
Dec 19 12:25:46 test kernel: [78481.470726] [Hermes] Entry Field [681e] -> Value [fb].
Dec 19 12:25:46 test kernel: [78481.479746] 205, L1: 1.
Dec 19 12:25:49 test kernel: [78484.470869] [TRACE_KVM] tracing disabled
Dec 19 12:25:49 test kernel: [78484.470874] [TRACE_KVM] Control_execution set to 0.
Dec 19 12:25:49 test kernel: [78484.471325] [TRACE_KVM] Buffer copied 
Dec 19 12:25:49 test kernel: [78484.475116] [HAVFUZZ] Released
Dec 19 12:25:49 test kernel: [78484.476856] [Trace KVM] Buffer released
